constant_name,definition
Medication Usage,Përdorimi i Ilaçit
Medications,Ilaçet
"Medications - lists the medications under Issues > Medications. If eRx is enabled the medication list has to be entered on the eRx page","Ilaçet - liston ilaçet nën Çështjet > Ilaçet. Nëse eRx është i aktivizuar lista e ilaçeve duhet të futet në faqen e eRx"
Medications Allergy List,Lista e Alergjive ndaj Ilaçeve
Medications:,Ilaçet:
Medicine Units,Njësitë e Ilaçit
Medium,Mesatar
Medium{{Priority}},Mesatar{{Priority}}
MedlinePlus Connect,MedlinePlus Connect
med{{medial}},med{{medial}}
Member Association Statistics Report,Raporti i Statistikave të Shoqatës së Anëtarëve
Member Id,Id e Anëtarit
Memory Problems,Probleme me Kujtesën
Menarche,Menarke
Menopause,Menopauza
Menstrual Flow,Rrjedha Menstruale
Menstrual Frequency,Frekuenca Menstruale
Mental Illness,Sëmundje Mendore
Mental Status,Gjendja Mendore
Menu,Menyja
Menu (menu),Menyja (menu)
Menus (menus),Menytë (menus)
Merge,Bashko
Merge and Discard,Bashko dhe Hiq
Merge and Keep,Bashko dhe Mbaj
Merge complete.,Bashkimi u kompletua.
Merge Patients,Bashko Pacientët
Merge to any patient,Bashko me çdo pacient
Message Center,Qendra e Mesazheve
Message Center Help,Ndihma e Qendrës së Mesazheve
"Message content is not plain text so it has been stored as a document.","Përmbajtja e mesazhit nuk është tekst i thjeshtë prandaj është ruajtur si dokument."
Message List,Lista e Mesazheve
Message Log,Regjistri i Mesazheve
Message to Reviewer,Mesazh për Rishikuesin
Messages - due date,Mesazhet - data e afatit
Messages Screen,Ekrani i Mesazheve
"Messages, Reminders","Mesazhet, Kujtesat"
"Messages, Reminders, Recalls","Mesazhet, Kujtesat, Rikthimet"
Messaging,Mesazhimi
Method Change at this Clinic,Ndryshimi i Metodës në këtë Klinikë
Method for sending outgoing email.,Metoda për dërgimin e emailit dalës.
Method of Destruction,Metoda e Shkatërrimit
Mexican/MexAmer/Chicano,Meksikan/MeksAmer/Çikano
MFA,MFA
MFA Authorization,Autorizimi MFA
MFA Manaagement,Menaxhimi MFA
MFA Management,Menaxhimi MFA
MFA Verification,Verifikimi MFA
MG/DL,MG/DL
mid,mes
Middle{{Name}},Mesit{{Name}}
Midlevel Prescriber,Përshkrues i Nivelit të Mesëm
Midlevel Prescriber DEA,DEA e Përshkruesit të Nivelit të Mesëm
Midlevel Prescriber First name,Emri i Përshkruesit të Nivelit të Mesëm
Midlevel Prescriber Last name,Mbiemri i Përshkruesit të Nivelit të Mesëm
Midlevel Prescriber NPI,NPI e Përshkruesit të Nivelit të Mesëm
Midlevel Prescriber Prefix,Prefiksi i Përshkruesit të Nivelit të Mesëm
Midlevel Prescriber UPIN,UPIN e Përshkruesit të Nivelit të Mesëm
Mid{{Middle Distance Add}},Mes{{Middle Distance Add}}
Mid{{middle Rx strength}},Mes{{middle Rx strength}}
Mid{{Middle segment in a trifocal glasses prescription}},Mes{{Middle segment in a trifocal glasses prescription}}
mid{{middle}},mes{{middle}}
Mien,Pamja
Migrant Seasonal,Migrant Sezonal
Mil/CU.MM,Mil/CU.MM
Mild,E lehtë
Mild anxiety disorder,Çrregullim i lehtë i ankthit
Mild to moderate,E lehtë deri në mesatare
Military Treatment Facility,Qendër Trajtimi Ushtarake
MIME Type,Tipi MIME
MimeType,MimeType
"Min length is 8 with upper,lowercase,numbers mix","Gjatësia minimale është 8 me përzierje shkronjash të mëdha, të vogla dhe numrash"
Min/Max Inventory as Months,Inventari Min/Maks si Muaj
Min/max inventory is expressed as months of supply instead of units,Inventari min/maks shprehet si muaj furnizimi në vend të njësive
Mini,Mini
Minimal Logging,Regjistrim Minimal
Minimize this panel,Minimizo këtë panel
Minimum length of password.,Gjatësia minimale e fjalëkalimit.
Minimum Password Length,Gjatësia Minimale e Fjalëkalimit
Minor joint strain +/- synovitis,Ndrydhje e lehtë e kyçit +/- sinovit
Mirth IP,IP e Mirth
Misc Billing Options,Opsione të Ndryshme Faturimi
Misc Billing Options for HCFA-1500,Opsione të Ndryshme Faturimi për HCFA-1500
Misc Billing Options HCFA,Opsione të Ndryshme Faturimi HCFA
Miscellaneous Billing Options for HCFA-1500,Opsione të Ndryshme Faturimi për HCFA-1500
Missed,E humbur
missing,mungon
Missing a required field,Mungon një fushë e detyrueshme
Missing a required field and will be highlighted,Mungon një fushë e detyrueshme dhe do të theksohet
Missing email config record,Mungon regjistrimi i konfigurimit të emailit
Missing Fee,Tarifa Mungon
Missing Identifying Code,Mungon Kodi Identifikues
"Missing information, so aborting credit/void.","Mungon informacioni, prandaj po anulohet kreditimi/anulimi."
Missing Insurance Payer Id,Mungon Id e Paguësit të Sigurimit
Missing Mods Only,Vetëm Modifikimet që Mungojnë
Missing or Invalid,Mungon ose i Pavlefshëm
Missing Patient ID,Mungon ID e Pacientit
Missing PID.,Mungon PID.
Missing report date,Mungon data e raportit
Missing slash after payer in source for code ,Mungon pjerrëza pas paguësit në burimin për kodin
Missing SMS config record,Mungon regjistrimi i konfigurimit të SMS
Missing Subscriber Policy Number or DOB,Mungon Numri i Policës së Abonentit ose Datëlindja
Missing Title,Mungon Titulli
Missing user credentials,Mungojnë kredencialet e përdoruesit
Missing/invalid notification id,Id e njoftimit mungon/e pavlefshme
mL,mL
MMR 1,MMR 1
MMR 2,MMR 2
mm{{millimeters}},mm{{millimeters}}
Mobile,Celular
Mobile phones,Telefonat celularë
Mobile phones are ubiquitous and are generally easily accessible by any user,Telefonat celularë janë të kudondodhur dhe përgjithësisht lehtësisht të aksesueshëm nga çdo përdorues
Mobile Unit,Njësia Mobile
Mod,Mod
Mod Date,Data e Modifikimit
Mode - Do Not Show SQL Queries,Mënyra - Mos Shfaq Pyetjet SQL
Moderate,Mesatare
Moderate Priority,Prioritet i Mesëm
Moderate to severe,Mesatare deri në të rëndë
Moderate/Low Priority,Prioritet i Mesëm/i Ulët
Modern/images,Modern/images
Modifier,Modifikues
"Modifier 22: Increased Procedural Services: When the work required to provide a service is substantially greater than typically required, it may be identified by adding modifier 22 to the usual procedure code.","Modifikuesi 22: Shërbime Procedurale të Rritura: Kur puna e nevojshme për të ofruar një shërbim është dukshëm më e madhe se zakonisht, mund të identifikohet duke shtuar modifikuesin 22 në kodin e zakonshëm të procedurës."
Modifier 24: Unrelated Evaluation and Management Service by the Same Physician During a Postoperative Period,Modifikuesi 24: Shërbim Vlerësimi dhe Menaxhimi i Palidhur nga i Njëjti Mjek Gjatë Periudhës Pas-operatore
"Modifier 25: Significant, separately identifiable evaluation and management (E/M) service by the same physician on the day of a procedure or other service","Modifikuesi 25: Shërbim i rëndësishëm vlerësimi dhe menaxhimi (E/M) i identifikueshëm veçmas nga i njëjti mjek në ditën e një procedure ose shërbimi tjetër"
"Modifier 57: Indicates an Evaluation and Management (E/M) service resulted in the initial decision to perform surgery either the day before a major surgery (90 day global) or the day of a major surgery.","Modifikuesi 57: Tregon se një shërbim Vlerësimi dhe Menaxhimi (E/M) rezultoi në vendimin fillestar për të kryer ndërhyrjen kirurgjikale ose ditën para një kirurgjie të madhe (90 ditë globale) ose ditën e një kirurgjie të madhe."
Modifier(s),Modifikuesi(t)
Modifiers,Modifikuesit
Modify Patient Form,Ndrysho Formularin e Pacientit
Modifying,Duke Ndryshuar
ModLength,ModLength
Modules (modle),Modulet (modle)
Mon Wed &amp; Fri,"Hën, Mër &amp; Pre"
Monocular Pupillary Diameter - Distance,Diametri Pupilar Monokular - Distancë
Monocular Pupillary Diameter - Near,Diametri Pupilar Monokular - Afër
months ago,muaj më parë
Mood/Affect Nml{{Mood and affect normal}},Humor/Afekt Nml{{Mood and affect normal}}
More Actions,Më Shumë Veprime
More appointments may exist,Mund të ekzistojnë më shumë takime
More information about Clinical Decision Rule can be found here,Më shumë informacion rreth Rregullave të Vendimeve Klinike mund të gjeni këtu
More information about Issues can be found here,Më shumë informacion rreth Çështjeve mund të gjeni këtu
More information about what phiMail is and how to set it up is available here,Më shumë informacion rreth asaj çfarë është phiMail dhe si ta konfiguroni është i disponueshëm këtu
More information available at the openEMR MedEx wiki page,Më shumë informacion i disponueshëm në faqen wiki të openEMR MedEx
More information on how to edit this form and other such forms can be found here,Më shumë informacion se si të ndryshoni këtë formular dhe formularë të tjerë të tillë mund të gjeni këtu
More information on the use of phiMail messages is available here,Më shumë informacion mbi përdorimin e mesazheve phiMail është i disponueshëm këtu
More options,Më shumë opsione
More than,Më shumë se
More than 1000 records found. Please narrow your search criteria.,Më shumë se 1000 regjistrime u gjetën. Ju lutem ngushtoni kriteret e kërkimit.
More than half of days,Më shumë se gjysmën e ditëve
More than half the days,Më shumë se gjysmën e ditëve
More than one appointment was found,Më shumë se një takim u gjet
Moreover there is a recurring cost incurred in sending the text messages,Gjithashtu ka një kosto të përsëritur që lind nga dërgimi i mesazheve tekst
Most activities in relation to a patient are based on an encounter,Shumica e aktiviteteve në lidhje me një pacient bazohen në një vizitë
Most column headers can be clicked to change sort order,Shumica e titujve të kolonave mund të klikohen për të ndryshuar rendin e renditjes
Most often this is due to a Username/Password mismatch,Më shpesh kjo vjen për shkak të mospërputhjes së Emrit të Përdoruesit/Fjalëkalimit
Most recent from,Më e fundit nga
Most recent lab data:,Të dhënat më të fundit të laboratorit:
Most recent visit,Vizita më e fundit
Most recent vitals from:,Shenjat jetësore më të fundit nga:
Mothers Name,Emri i Nënës
Motility,Lëvizshmëria
Move Document to Category:,Zhvendos Dokumentin në Kategori:
Move Down,Zhvendos Poshtë
Move failed!,Zhvendosja dështoi!
"Move the individual items from 'Active' to 'Inactive' or vice-versa by selecting the items and pressing the relevant button with the double chevron.","Zhvendosni elementët individualë nga 'Aktiv' në 'Joaktiv' ose anasjelltas duke zgjedhur elementët dhe duke shtypur butonin përkatës me shigjetën e dyfishtë."
Move to Patient PID,Zhvendos te Pacienti PID
Move Up,Zhvendos Lart
Mo{{Monday}},Hë{{Monday}}
MPD-D{{abbreviation for Monocular Pupillary Diameter - Distance}},MPD-D{{abbreviation for Monocular Pupillary Diameter - Distance}}
MPD-N{{abbreviation for Monocular Pupillary Diameter - Near}},MPD-N{{abbreviation for Monocular Pupillary Diameter - Near}}
MR (Dry),MR (i Thatë)
MRD{{marginal reflex distance}},MRD{{marginal reflex distance}}
MRI Safety Status,Statusi i Sigurisë MRI
MRN (pid),MRN (pid)
MRN Reference,Referenca MRN
MRNear{{Manifest Near Acuity}},MRNear{{Manifest Near Acuity}}
MRNear{{manifest refraction near}},MRNear{{manifest refraction near}}
MR{{Manifest Refraction}},MR{{Manifest Refraction}}
MSH-11,MSH-11
MSH-3.1,MSH-3.1
MSH-4.1,MSH-4.1
MSH-5.1,MSH-5.1
MSH-6.1,MSH-6.1
MSH.8 message type is not supported,Tipi i mesazhit MSH.8 nuk mbështetet
MSH.8 message type is not valid,Tipi i mesazhit MSH.8 nuk është i vlefshëm
MSI (requires LBFmsivd form),MSI (kërkon formularin LBFmsivd)
MSP,MSP
MSP Code,Kodi MSP
MSP Remit Codes,Kodet e Pagesës MSP
Multi Factor Authorization - MFA has been increasingly used to authenticate a user without making the process of authentication too onerous,Autorizimi me Shumë Faktorë - MFA është përdorur gjithnjë e më shumë për të autentifikuar një përdorues pa e bërë procesin e autentifikimit tepër të rëndë
Multi Factor Authorization Help,Ndihma e Autorizimit me Shumë Faktorë
Multi Language Tool,Mjeti Shumëgjuhësh
Multi Select Patients or All Patients using toolbar Location,Zgjidhni Shumë Pacientë ose Të Gjithë Pacientët duke përdorur vendndodhjen e shiritit të mjeteve
Multi-select desired DX(s) and click the,Zgjidhni DX(s)-të e dëshiruara dhe klikoni
Multi-Select Facilties,Zgjidhni Shumë Qendra
Multi-Select Provider,Zgjidhni Shumë Ofrues
Multiple areas,Zona të shumta
Multiple DataBase,Bazë të Dhënash të Shumëfishta
"Multiple files can be uploaded at one time by selecting them using CTRL+Click or SHIFT+Click.","Shumë skedarë mund të ngarkohen njëherësh duke i zgjedhur me CTRL+Klikim ose SHIFT+Klikim."
Multiple Lots,Lote të Shumta
"Multiple modifiers can be separated by colons or spaces, maximum of 4 (M1:M2:M3:M4)","Modifikuesit e shumtë mund të ndahen me dy pika ose hapësira, maksimumi 4 (M1:M2:M3:M4)"
Multiple Select List,Lista e Zgjedhjes së Shumëfishtë
Multipledb,Multipledb
Multipledb (multipledb),Multipledb (multipledb)
Multiracial,Shumëracial
Murmur:,Murmurimë:
Musc Ache,Dhimbje Muskulore
Musc Aches,Dhimbje Muskulore
Musc Redness,Skuqje Muskulore
Musc Stiffness,Ngurtësi Muskulore
Musc Swelling,Ënjtje Muskulore
Musc Warm,Nxehtësi Muskulore
Musculoskeletal,Muskuloskeletike
Musculo{{musculoskeletal}},Muskulo{{musculoskeletal}}
Must be 12 to 80 characters,Duhet të jetë 12 deri 80 karaktere
Must be current email address on file.,Duhet të jetë adresa aktuale e emailit në dosje.
Must be empty if SMTP authentication is not used.,Duhet të jetë bosh nëse autentifikimi SMTP nuk përdoret.
Must be future date,Duhet të jetë datë në të ardhmen
Must choose at least one day!,Duhet të zgjidhni të paktën një ditë!
Must have an encounter to take credit card payment.,Duhet të keni një vizitë për të pranuar pagesë me kartë krediti.
Mutually Defined,E Përcaktuar Ndërsjelltazi
MVA,MVA
MVX Code,Kodi MVX
My Appointments,Takimet e Mia
My Dashboard,Paneli Im
My default facility,Qendra ime e paracaktuar
My Default Values,Vlerat e Mia të Paracaktuara
My Documents,Dokumentet e Mia
My Health,Shëndeti Im
My Messages,Mesazhet e Mia
My Profile,Profili Im
My Signature,Nënshkrimi Im
My Term,Termi Im
Myself,Vetë
Māori,Māori
N.B.{{Nota bene}},N.B.{{Nota bene}}
N/A,N/A
n/a,n/a
N/A{{not applicable}},N/A{{not applicable}}
Name (GMDN PT Name),Emri (GMDN PT Name)
Name - Select a provider name from the drop-down list,Emri - Zgjidhni emrin e ofruesit nga lista rënëse
Name and Title of Immunization Administrator,Emri dhe Titulli i Administratorit të Imunizimit
"Name for this Category, Procedure or Result","Emri për këtë Kategori, Procedurë ose Rezultat"
Name in EMR,Emri në EMR
"Name must be like codetype_code_language.pdf, for example icd9_274.11_en.pdf","Emri duhet të jetë si codetype_code_language.pdf, për shembull icd9_274.11_en.pdf"
Name of Events,Emri i Ngjarjeve
Name of insurance company,Emri i kompanisë së sigurimit
Name of Provider,Emri i Ofruesit
Name of the sender for patient reminders.,Emri i dërguesit për kujtesat e pacientit.
Name of the Surgeon,Emri i Kirurgut
Name of zend template for html print,Emri i shabllonit zend për printimin html
"Name of zend template for html print, possible to add custom template in the PrescriptionTemplate module","Emri i shabllonit zend për printimin html, e mundur të shtohet shabllon i personalizuar në modulin PrescriptionTemplate"
