constant_name,definition
Prescription - lists the prescriptions of the current patient,Receta - liston recetat e pacientit aktual
prescription has reached its limit of,receta ka arritur kufirin e saj prej
Prescription History,Historiku i Recetave
Prescription History import successfully completed,Importimi i Historikut të Recetave u kompletua me sukses
Prescription Label,Etiketa e Recetës
Prescription Report,Raporti i Recetës
Prescription successfully removed.,Receta u hoq me sukses.
Prescription Transmit Review,Rishikimi i Transmetimit të Recetës
Prescriptions,Recetat
"Prescriptions (write,addonly optional)","Recetat (shkruaj, vetëm-shto opsionale)"
"Prescriptions (write,addonly optional) (rx)","Recetat (shkruaj, vetëm-shto opsionale) (rx)"
Prescriptions and Dispensations,Recetat dhe Shpërndarjet
Prescriptions and other referrals,Recetat dhe referime të tjera
Prescriptions and/or referrals by specialist,Recetat dhe/ose referimet nga specialisti
Prescriptions may be created from the Fee Sheet.,Recetat mund të krijohen nga Fleta e Tarifave.
Prescriptions Report,Raporti i Recetave
Prescriptions Review Not Authorized,Rishikimi i Recetave nuk është i Autorizuar
Prescriptions/Referrals,Recetat/Referimet
Present,I pranishëm
"Present an additional PDF custom receipt after checkout.",Paraqit një faturë PDF të personalizuar shtesë pas arkëtimit.
Presenting Complaint,Ankesa Kryesore
Presenting Issue(s),Çështja(t) e Paraqitur(a)
Press Continue to proceed,Shtypni Vazhdo për të vazhduar
"Press the flashing button on the USB key within 1 minute of inserting it and click on register to register the key with OpenEMR","Shtypni butonin ndriçues në çelësin USB brenda 1 minute nga futja e tij dhe klikoni regjistro për të regjistruar çelësin me OpenEMR"
Press this icon to build your Impression/Plan.,Shtypni këtë ikonë për të ndërtuar Përshtypjen/Planin tuaj.
Presumed Diagnosis,Diagnoza e Prezumuar
Presumed diagnosis by specialist,Diagnoza e prezumuar nga specialisti
Prev,Prapa
Prev Med/Surg Hx,Hist Mjek/Kirurg Paraardhëse
Prev. month (hold for menu),Muaji i kaluar (mbani për meny)
Prev. year (hold for menu),Viti i kaluar (mbani për meny)
Prevent Web Browser Refresh,Parandalo Rifreskimin e Shfletuesit
Preventative Care,Kujdesi Parandalues
Prevention Rehab,Rehabilitimi Parandalues
"Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention (CQM)","Kujdesi Parandalues dhe Depistimi: Përdorimi i Duhanit: Depistimi dhe Ndërhyrja për Ndërprerje (CQM)"
Preview Changes,Parapamja e Ndryshimeve
Preview Event,Parapamja e Ngjarjes
Preview file,Parapamja e skedarit
Preview not available for this document type,Parapamja nuk është e disponueshme për këtë lloj dokumenti
Preview of,Parapamja e
Previous Balance,Bilanci i Mëparshëm
Previous Consultations,Konsultimet e Mëparshme
Previous Encounter Drawings,Skicat e Vizitave të Mëparshme
Previous History/Screening,Historiku/Depistimi i Mëparshëm
Previous name history already exist. Try again or Cancel.,Historiku i emrave të mëparshëm ekziston tashmë. Provoni përsëri ose Anuloni.
Previous Names,Emrat e Mëparshëm
Price can be manually set or if already set can be altered here,Çmimi mund të vendoset manualisht ose nëse është vendosur tashmë mund të ndryshohet këtu
Price changed,Çmimi u ndryshua
Price Discounting,Zbritja e Çmimit
Price level changed,Niveli i çmimit u ndryshua
Pricelevel,Niveli i Çmimit
Primary Business Entity,Entiteti Kryesor i Biznesit
"Primary Business Entity tax id is used as account id for NewCrop ePrescription. Changing the facility will affect the working in NewCrop.","ID tatimore e Entitetit Kryesor të Biznesit përdoret si ID llogarie për NewCrop ePrescription. Ndryshimi i institucionit do të ndikojë funksionimin në NewCrop."
Primary Business Entity tax id is used as the account id for NewCrop ePrescription.,ID tatimore e Entitetit Kryesor të Biznesit përdoret si ID llogarie për NewCrop ePrescription.
Primary Diagnosis,Diagnoza Kryesore
Primary Facility City,Qyteti i Institucionit Kryesor
Primary Facility Country code,Kodi i Shtetit të Institucionit Kryesor
Primary Facility State,Shteti i Institucionit Kryesor
Primary Facility Street Address,Adresa e Rrugës së Institucionit Kryesor
Primary Facility Zip Code,Kodi Postar i Institucionit Kryesor
Print Checkout,Printo Arkëtimin
Print Custom Message,Printo Mesazhin e Personalizuar
Print Entire Listing,Printo Listimin e Plotë
Print Four Panel,Printo Katër Panele
Print Ledger,Printo Librin e Llogarive
Print locally,Printo lokalisht
Print Multiple,Printo Shumëfish
Print Multiple To Fax,Printo Shumëfish në Faks
"Print name, sign and date.","Printoni emrin, nënshkruani dhe vendosni datën."
Print Notes,Printo Shënimet
Print Patient Address Label,Printo Etiketën e Adresës së Pacientit
Print Patient Billing Note,Printo Shënimin e Faturimit të Pacientit
Print Receipts by Provider,Printo Faturat sipas Ofruesit
Print Record,Printo Regjistrimin
Print Record (HTML),Printo Regjistrimin (HTML)
Print Record (PDF),Printo Regjistrimin (PDF)
Print remotely,Printo në distancë
Print Report,Printo Raportin
Print Selected,Printo të Zgjedhurat
Print Selected Statements,Printo Deklaratat e Zgjedhura
Print Shot Record,Printo Regjistrimin e Vaksinimit
Print the Next Appointment on the Bottom of the Ledger,Printo Takimin e Ardhshëm në Fund të Librit të Llogarive
Print This Encounter,Printo Këtë Vizitë
Print this form,Printo këtë formular
Print this note,Printo këtë shënim
Print This Note,Printo Këtë Shënim
Print View,Pamja e Printimit
Printed on,Printuar më
Printer,Printeri
Printing Log Option,Opsioni i Regjistrit të Printimit
Printing skipped; see test output in,Printimi u kapërcye; shikoni daljen e testit në
"Printing skipped; see test output in ",Printimi u kapërcye; shikoni daljen e testit në
Prints the CMS 1500 on the Preprinted form,Printon CMS 1500 në formularin e parashtypuar
Prior Auth,Autorizimi Paraprak
Prior Authorization,Autorizimi Paraprak
Prior Authorization Form,Formulari i Autorizimit Paraprak
Prior Exam,Ekzaminimi Paraprak
Prior Eye Meds,Medikamentet e Mëparshme të Syrit
Prior IMP/PLAN,IMP/PLAN i Mëparshëm
Prior Refractions,Refraksionet e Mëparshme
Prior Validations Errors,Gabimet e Validimeve Paraprake
Prior Visit,Vizita e Mëparshme
Prior Visits,Vizitat e Mëparshme
Prism,Prizmë
Prism Diopters,Dioptritë e Prizmës
Prison Correctional Facility,Institucioni Korrektues i Burgut
Problem DX,DX e Problemit
Problem loading.,Problem gjatë ngarkimit.
Problems & Diagnoses,Problemet & Diagnozat
Problems or Code,Problemet ose Kodi
Proc Bat,Grp Proc
Proc Cat,Kat Proc
Proc Load,Ngarkim Proc
Proc Pending Rev,Proc në Pritje Rev
Proc Prov,Ofrues Proc
Proc Res,Rez Proc
Procedure Body Sites,Vendet e Trupit të Procedurës
"Procedure Body Sites - Arm, Buttock and Other - used for immunization - modify as needed","Vendet e Trupit të Procedurës - Krahu, Vithet dhe Tjetër - përdoret për imunizim - modifikoni sipas nevojës"
Procedure Boolean Results,Rezultatet Boolean të Procedurës
Procedure Boolean Results - No and Yes,Rezultatet Boolean të Procedurës - Jo dhe Po
Procedure Lateralities,Anësitë e Procedurës
"Procedure Lateralities - Left, Right and Bilateral","Anësitë e Procedurës - Majtas, Djathtas dhe Bilateral"
Procedure Note - 2010,Shënimi i Procedurës - 2010
Procedure Order Details,Detajet e Porosisë së Procedurës
procedure order not found in database contact tech support,porositë e procedurës nuk u gjet në bazën e të dhënave kontaktoni mbështetjen teknike
Procedure Picker,Zgjedhësi i Procedurës
Procedure Provider Help,Ndihma e Ofruesit të Procedurës
Procedure Report Abnormal,Raporti Anormal i Procedurës
"Procedure Report Abnormal - No, Yes, High, Low Above upper panic limit and Below lower panic limit","Raporti Anormal i Procedurës - Jo, Po, Lartë, Ulët Mbi kufirin e sipërm të panikut dhe Nën kufirin e poshtëm të panikut"
Procedure Report Statuses,Statuset e Raportit të Procedurës
"Procedure Report Statuses - Final, Reviewed, Preliminary, Canceled, Error and Corrected","Statuset e Raportit të Procedurës - Përfundimtar, Rishikuar, Paraprak, Anuluar, Gabim dhe Korrigjuar"
Procedure Result Abnormal,Rezultati Anormal i Procedurës
Procedure Result Statuses,Statuset e Rezultatit të Procedurës
"Procedure Result Statuses - Final, Preliminary, Canceled, Error, Corrected and Incomplete","Statuset e Rezultatit të Procedurës - Përfundimtar, Paraprak, Anuluar, Gabim, Korrigjuar dhe i Pakompletuar"
Procedure Routes,Rrugët e Procedurës
"Procedure Routes - Injection, Oral and Other","Rrugët e Procedurës - Injeksion, Oral dhe Tjetër"
Procedure Specimen Types,Llojet e Mostrës së Procedurës
"Procedure Specimen Types - Blood, Saliva, Urine and Other","Llojet e Mostrës së Procedurës - Gjak, Pështymë, Urinë dhe Tjetër"
Procedure Statistics Report,Raporti Statistikor i Procedurës
Procedure Test,Testi i Procedurës
Procedure Tier,Niveli i Procedurës
"Procedure Types - Group, Procedure Order, Discrete Result, Recommendation, Custom Favorite Group and Custom Favorite Item. Used in the next step - Configure the lab test structure","Llojet e Procedurës - Grup, Porosi Procedure, Rezultat Diskret, Rekomandim, Grup i Personalizuar i Preferuar dhe Artikull i Personalizuar i Preferuar. Përdoret në hapin tjetër - Konfiguro strukturën e testit laboratorik"
"Procedure Units - various units needed to define result values - may need to add to this list depending on the tests that are included, will vary according to need","Njësitë e Procedurës - njësi të ndryshme të nevojshme për të përcaktuar vlerat e rezultateve - mund të nevojitet shtimi në këtë listë në varësi të testeve të përfshira, do të ndryshojë sipas nevojës"
Procedure/Service,Procedura/Shërbimi
Proceed,Vazhdo
Proceeding to Preferences,Duke vazhduar te Preferencat
Process and Send Reminders,Proceso dhe Dërgo Kujtesa
Process ERA File,Proceso Skedarin ERA
Process New Files,Proceso Skedarët e Rinj
Process new files for CSV records,Proceso skedarët e rinj për regjistrime CSV
Process Reminders,Proceso Kujtesat
Process Results For,Proceso Rezultatet Për
Process takes some time,Procesimi merr pak kohë
Process UDI,Proceso UDI
Processed,Procesuar
Processed By,Procesuar Nga
Processed Date,Data e Procesimit
processed successfully,procesuar me sukses
Processing,Duke procesuar
Processing and Sending Patient Reminders,Duke Procesuar dhe Dërguar Kujtesat e Pacientëve
Processing Details,Detajet e Procesimit
Processing format,Formati i procesimit
Processing Lab Name/Internal Lab Id/Results File Name,Emri i Laboratorit Procesues/ID e Brendshme e Laboratorit/Emri i Skedarit të Rezultateve
Processing Patient Reminders,Duke Procesuar Kujtesat e Pacientëve
Processing Time,Koha e Procesimit
Processing...,Duke procesuar...
Product added,Produkti u shtua
Product Contraceptive Method,Metoda Kontraceptive e Produktit
Product deleted,Produkti u fshi
Product name is required,Emri i produktit është i detyrueshëm
Product-level reorder point has been reached,Pika e riporositjes në nivel produkti është arritur
Products but no prescription drugs and no templates,Produkte por pa barna me recetë dhe pa shabllone
Products Provided,Produktet e Ofruara
Profile,Profili
Profile Demographics,Demografitë e Profilit
Profile Edits Red = Charted Values Blue = Patient Edits,Ndryshimet e Profilit e Kuqe = Vlerat e Regjistruara Blu = Ndryshimet e Pacientit
Profile Templates Successfully set to Active in portal.,Shabllonet e Profilit u vendosën me sukses si Aktive në portal.
Profiles,Profilet
Profiles in Portal,Profilet në Portal
Profiles successfully saved.,Profilet u ruajtën me sukses.
"Profiles that have patient groups assigned to them are handled differently than those that do not. The latter is sent from the Scope toolbar to selected Location where the former shows an Update button to make the group profiles active for portal.","Profilet që kanë grupe pacientësh të caktuara trajtohen ndryshe nga ato që nuk kanë. Këto të fundit dërgohen nga shiriti i veglave Scope te Vendndodhja e zgjedhur ndërsa të parat shfaqin një buton Përditëso për t'i bërë profilet e grupit aktive për portalin."
Prog.{{Progressive lenses}},Prog.{{Thjerrëza Progresive}}
Progress,Progresi
Progress Note - 2010,Shënimi i Progresit - 2010
Progress Notes,Shënimet e Progresit
Progressive,Progresiv
Properties,Vetitë
Proprietary hardware tokens,Tokenë harduerikë pronësorë
Proprietary hardware tokens are tamper proof and are not connected to the internet or any network,Tokenët harduerikë pronësorë janë të mbrojtur nga manipulimi dhe nuk janë të lidhur me internetin ose ndonjë rrjet
Prostate Cancer,Kanceri i Prostatës
Prostate Cancer Screening,Depistimi i Kancerit të Prostatës
Prostate Exam,Ekzaminimi i Prostatës
Prostate Problems,Problemet e Prostatës
"Prostate w/o enlrgmt, nodules, tender","Prostata pa zmadh, nyje, e dhimbshme"
