constant_name,definition
"ID Card/Photos - will display any ID Card or patient photo that has been uploaded to Documents > Patient Information > Patient ID Card and Patient Photograph folders","Kartë Identiteti/Foto - do të shfaqë çdo Kartë Identiteti ose foto pacienti që është ngarkuar te Dokumentet > Informacioni i Pacientit > Kartë Identiteti e Pacientit dhe dosjet e Fotografisë së Pacientit"
ID Number (ETIN),Numri ID (ETIN)
IDays,IDitë
identified as,identifikuar si
Identifier,Identifikuesi
Identifier(one word),Identifikuesi(një fjalë)
Identifying Code,Kodi Identifikues
Idle Session Timeout Seconds,Sekonda të Skadimit të Sesionit Joaktiv
Ido,Ido
if,nëse
"If a field's Data Col = 0 the data field will immediately follow its label field on the same line","Nëse Kolona e të Dhënave të një fushe = 0, fusha e të dhënave do të ndjekë menjëherë fushën e etiketës në të njëjtën rresht"
"If a field's Label Col = 0 the label will immediately follow the previous data field in the Order sequence, on the same line as the Data field.","Nëse Kolona e Etiketës së një fushe = 0, etiketa do të ndjekë menjëherë fushën e mëparshme të të dhënave në sekuencën e Renditjes, në të njëjtën rresht me fushën e të Dhënave."
"If a field's Label Col = 1 the label field will go to a new line unless the previous field's total column values (Label + Data) is less than number of Layout columns from Group Properties or Layout Properties.","Nëse Kolona e Etiketës së një fushe = 1, fusha e etiketës do të shkojë në një rresht të ri përveç nëse vlerat totale të kolonave të fushës së mëparshme (Etiketë + Të dhëna) janë më pak se numri i kolonave të Paraqitjes nga Vetitë e Grupit ose Vetitë e Paraqitjes."
"If a product is sold then change the default to reflect required number. Leave it at one for procedures","Nëse një produkt shitet, ndryshoni parazgjedhjen për të reflektuar numrin e kërkuar. Lëreni në një për procedurat"
"If a wrong code was selected click on the Coding text-box to to bring up the Select Codes pop-up page","Nëse u zgjodh një kod i gabuar, klikoni në kutinë e tekstit të Kodimit për të hapur faqen e dëfryese të Zgjedhjes së Kodeve"
If all data for all columns are complete for this form,Nëse të gjitha të dhënat për të gjitha kolonat janë të plota për këtë formular
"If all the details were entered correctly you will see Blood Glucose in the Name column with a vertical bar before it indicating that it has no descendants or children, Result in the Category column, WWT01R in the Code column, the Tier column value should be 3 and the Description column should say Fasting Glucose result","Nëse të gjitha detajet u futën saktë do të shihni Glukozën e Gjakut në kolonën e Emrit me një vijë vertikale para saj që tregon se nuk ka pasardhës ose fëmijë, Rezultat në kolonën e Kategorisë, WWT01R në kolonën e Kodit, vlera e kolonës së Nivelit duhet të jetë 3 dhe kolona e Përshkrimit duhet të thotë Rezultati i Glukozës së Agjërimit"
"If billing justification is used enter the name of the diagnosis code type.","Nëse përdoret justifikimi i faturimit, futni emrin e llojit të kodit të diagnozës."
"If configured correctly the Name column should say Blood Glucose with a vertical bar before it indicating no descendants or children, the Category column should say Custom Order and both Name and Category columns will be highlighted in pink indicating a custom grouped order","Nëse është konfiguruar saktë, kolona e Emrit duhet të thotë Glukoza e Gjakut me një vijë vertikale para saj që tregon mungesën e pasardhësve ose fëmijëve, kolona e Kategorisë duhet të thotë Porosi e Personalizuar dhe të dyja kolonat e Emrit dhe Kategorisë do të theksohen me rozë duke treguar një porosi të grupuar të personalizuar"
"If desired the current message can be printed","Nëse dëshirohet, mesazhi aktual mund të printohet"
"If enabled, this will send the execution time it took to verify hash to the php error log.","Nëse aktivizohet, kjo do të dërgojë kohën e ekzekutimit që u desh për të verifikuar hash-in në regjistrin e gabimeve php."
"If enabled, use LDAP for login and authentication.","Nëse aktivizohet, përdorni LDAP për hyrje dhe autentifikim."
"If enabled, uses the specified active directory for login and authentication.","Nëse aktivizohet, përdor direktorinë aktive të specifikuar për hyrje dhe autentifikim."
"if entered, select only those who have had this service","nëse futet, zgjidhni vetëm ata që kanë pasur këtë shërbim"
"If it it still active i.e. End Date is not entered it will be displayed in red, if the problem has an end Date then it will be displayed in black","Nëse është ende aktiv, d.m.th. Data e Përfundimit nuk është futur, do të shfaqet me të kuqe; nëse problemi ka një Datë Përfundimi atëherë do të shfaqet me të zezë"
"If name, any part of lastname or lastname,firstname","Nëse emri, çdo pjesë e mbiemrit ose mbiemri,emri"
"If NewCrop eRx - the electronic prescription module, is enabled the NewCrop MedEntry and NewCrop Account Status buttons will be appear here","Nëse NewCrop eRx - moduli i recetës elektronike, është aktivizuar, butonat e NewCrop MedEntry dhe Statusit të Llogarisë NewCrop do të shfaqen këtu"
If not listed you can add the drug to the Title text-box,Nëse nuk është listuar mund ta shtoni ilaçin në kutinë e tekstit të Titullit
"If nothing is selected here then all are permitted.","Nëse asgjë nuk është zgjedhur këtu, atëherë të gjitha lejohen."
"If only capture the QR code but do not register the TOTP key with OpenEMR this feature will not be enabled at login","Nëse vetëm kap kodin QR por nuk e regjistron çelësin TOTP me OpenEMR, kjo veçori nuk do të aktivizohet në hyrje"
"If patient has appointment click OK to create encounter otherwise, cancel this and then create an encounter for today visit.","Nëse pacienti ka takim, klikoni OK për të krijuar vizitë; përndryshe, anuloni këtë dhe pastaj krijoni një vizitë për vizitën e sotme."
If paying by,Nëse paguhet me
"If person is deceased, then enter date of death.","Nëse personi ka vdekur, futni datën e vdekjes."
If phone is lost will not be able to login,Nëse telefoni humbet nuk do të mund të hyni
"If privileges have to be modified then it can be done either one user at a time at Administration > Users or more conveniently on this page i.e. Administration > ACL where all users are listed on one page and more options are available.","Nëse privilegjet duhet të ndryshohen, kjo mund të bëhet ose për një përdorues në një kohë te Administrimi > Përdoruesit ose më lehtësisht në këtë faqe, d.m.th. Administrimi > ACL ku të gjithë përdoruesit janë listuar në një faqe dhe më shumë opsione janë të disponueshme."
"If set as high will restrict visibility of encounter to users belonging to certain groups (AROs). By default - Physicians and Administrators","Nëse vendoset si e lartë, do të kufizojë dukshmërinë e vizitës për përdoruesit që i përkasin grupeve të caktuara (ARO). Si parazgjedhje - Mjekët dhe Administratorët"
"If SMTP is used, the server`s hostname or IP address.","Nëse përdoret SMTP, emri i hostit ose adresa IP e serverit."
"If SMTP is used, the server`s TCP port number (usually 25).","Nëse përdoret SMTP, numri i portës TCP të serverit (zakonisht 25)."
"If so desired the default board can be disabled by going to Administration > Calendar > Recall Board: Disable and checking the checkbox and click Save","Nëse dëshirohet, tabela e parazgjedhur mund të çaktivizohet duke shkuar te Administrimi > Kalendari > Tabela e Rikujtimit: Çaktivizo dhe duke zgjedhur kutinë e kontrollit dhe klikoni Ruaj"
If so you will have to create individual Procedure Orders (the orders) for these tests along with Discrete Results (the place to enter and display the returned result),Nëse po do t'ju duhet të krijoni Porosi Procedurash individuale (porositë) për këto teste së bashku me Rezultate Diskrete (vendi për të futur dhe shfaqur rezultatin e kthyer)
If successful it authenticates the user,Nëse ka sukses autentifikon përdoruesin
"If the checkbox is checked and the message is sent to multiple users then each user has to sign off on the message by clicking the Set As Completed Button for that message","Nëse kutia e kontrollit është zgjedhur dhe mesazhi dërgohet te shumë përdorues, atëherë çdo përdorues duhet të nënshkruajë mesazhin duke klikuar Butonin Vendos Si të Përfunduar për atë mesazh"
If the checkbox is checked then each individual of a group receiving this message will have to sign off by clicking the Set As Completed button,Nëse kutia e kontrollit është zgjedhur atëherë çdo individ i një grupi që merr këtë mesazh do të duhet të nënshkruajë duke klikuar butonin Vendos Si të Përfunduar
"If the csv file has been uploaded, then click on the ""Import holiday events"" button. NOTE that clicking on the button will remove all the existing rows in the calendar_external table","Nëse skedari csv është ngarkuar, atëherë klikoni butonin ""Importo ngjarjet e festave"". SHËNIM: klikimi i butonit do të heqë të gjitha rreshtat ekzistuese në tabelën calendar_external"
"If the desired title is not included, it can be typed into the text box below the list","Nëse titulli i dëshiruar nuk përfshihet, ai mund të shkruhet në kutinë e tekstit poshtë listës"
"If the displayed table says No matching record found it means that the ICD10 code set is not installed","Nëse tabela e shfaqur thotë Nuk u gjet asnjë regjistër përputhës, do të thotë se grupi i kodeve ICD10 nuk është instaluar"
If the help file does not exist create one and place it in,Nëse skedari i ndihmës nuk ekziston krijoni një dhe vendoseni në
If the issue has not been linked to an encounter it will display 0,Nëse çështja nuk është lidhur me një vizitë do të shfaqë 0
"If the medical problem is not listed in the drop-down box click on Coding text-box to bring up the Select Codes pop-up page","Nëse problemi mjekësor nuk është listuar në kutinë rënëse, klikoni në kutinë e tekstit të Kodimit për të hapur faqen dëfryese të Zgjedhjes së Kodeve"
"If the message is forwarded it will show up in the active messages list of the user to whom the message was forwarded and disappear from the current user's active messages list","Nëse mesazhi përcillet, ai do të shfaqet në listën e mesazheve aktive të përdoruesit tek i cili u përcoll mesazhi dhe do të zhduket nga lista e mesazheve aktive të përdoruesit aktual"
"If the Offsite Patient portal is enabled there will be either a button that says Create Offsite Portal Credentials provided the patient has given permission to access the online patient portal or a message that says Patient has not authorized the Patient Portal","Nëse Portali i Pacientit Jashtë Vendit është aktivizuar, do të ketë ose një buton që thotë Krijo Kredencialet e Portalit Jashtë Vendit me kusht që pacienti ka dhënë leje për të aksesuar portalin online të pacientit ose një mesazh që thotë Pacienti nuk ka autorizuar Portalin e Pacientit"
"If the Online Patient portal is enabled there will be either a button that says Create Online Portal Credentials provided the patient has given permission to access the online patient portal or a message that says Patient has not authorized the Patient Portal","Nëse Portali Online i Pacientit është aktivizuar, do të ketë ose një buton që thotë Krijo Kredencialet e Portalit Online me kusht që pacienti ka dhënë leje për të aksesuar portalin online të pacientit ose një mesazh që thotë Pacienti nuk ka autorizuar Portalin e Pacientit"
If the Online/Offsite Portal Credentials has already been set the button will change to,Nëse Kredencialet e Portalit Online/Jashtë Vendit janë vendosur tashmë butoni do të ndryshojë në
"If the patient has any demographic data entered in openEMR it will automatically populate the relevant fields on the right sections","Nëse pacienti ka ndonjë të dhënë demografike të futur në openEMR, do të plotësojë automatikisht fushat përkatëse në seksionet e duhura"
"If the patient has not authorized patient portal then a Patient has not authorized the Patient Portal message will be shown here","Nëse pacienti nuk ka autorizuar portalin e pacientit, atëherë një mesazh Pacienti nuk ka autorizuar Portalin e Pacientit do të shfaqet këtu"
"If the patient is being added to the recall list on the day of the visit it would reflect the current date","Nëse pacienti po shtohet në listën e rikujtimit në ditën e vizitës, do të reflektojë datën aktuale"
"If the patient is calling back to be added to the list the last visit may be in the remote past. Be aware that the 1,2,3 plus years are calculated and displayed on the Date box at the bottom of this section","Nëse pacienti po telefonon për t'u shtuar në listë, vizita e fundit mund të jetë në të kaluarën e largët. Kini parasysh se 1,2,3 plus vitet llogariten dhe shfaqen në kutinë e Datës në fund të këtij seksioni"
"If the patient is deceased then the deceased notification will appear in red in this section","Nëse pacienti ka vdekur, njoftimi i vdekjes do të shfaqet me të kuqe në këtë seksion"
"If the report is sent electronically all steps needed for safe and secure transmission of Protected Health Information (PHI) must be followed","Nëse raporti dërgohet elektronikisht, të gjitha hapat e nevojshme për transmetimin e sigurt të Informacionit të Mbrojtur Shëndetësor (PHI) duhet të ndiqen"
"If there is no vendor enter any arbitrary unique number, preferably a 5 digit zero-padded e.g. 00211","Nëse nuk ka furnizues, futni çfarëdo numri unik arbitrar, mundësisht një numër 5-shifror me zero përpara p.sh. 00211"
"If these tests are being sent to the same external lab they will have identical vendor specific Identifying Codes causing duplicate lines to appear when results are displayed","Nëse këto teste po dërgohen në të njëjtin laborator të jashtëm, ato do të kenë Kode Identifikuese specifike të njëjta të furnizuesit duke shkaktuar shfaqjen e rreshtave dublikatë kur shfaqen rezultatet"
"If they have been configured correctly each result should have a Tier value of 4, indicating they are the successor or child to the first line above with a Tier value of 3, i.e Electrolyte Panel","Nëse janë konfiguruar saktë, çdo rezultat duhet të ketë një vlerë Niveli 4, që tregon se janë pasardhës ose fëmijë i rreshtit të parë më lart me një vlerë Niveli 3, d.m.th. Paneli i Elektroliteve"
"If this page does not refresh, reload the Messages page manually","Nëse kjo faqe nuk rifreskohet, ringarkoni faqen e Mesazheve manualisht"
If unassigned will default to php.ini setting for date.timezone.,Nëse nuk caktohet do të përdorë parazgjedhjen e php.ini për date.timezone.
if unemployed enter Student,nëse i papunë futni Student
"If value is left as zero, will be sorted alphabetically","Nëse vlera lihet si zero, do të renditet alfabetikisht"
"If YMD is selected for age display, switch to just Years when patients older than this value in years","Nëse VMD është zgjedhur për shfaqjen e moshës, kalo vetëm në Vite kur pacientët janë më të vjetër se kjo vlerë në vite"
If you are having troubles logging into your account.,Nëse keni probleme me hyrjen në llogarinë tuaj.
If you are interested in what happens under the hood,Nëse jeni të interesuar për atë që ndodh pas skenave
"If you are only using a small subset of the CPT codes you can manually enter it in Administration > Codes","Nëse po përdorni vetëm një nëngrup të vogël të kodeve CPT, mund t'i futni manualisht te Administrimi > Kodet"
"If you are planning on entering different prices for different modalities of payment go to Administration > Lists","Nëse planifikoni të futni çmime të ndryshme për modalitete të ndryshme pagese, shkoni te Administrimi > Listat"
"If you are unsure or were using a development version between two releases, then choose the older of possible releases","Nëse nuk jeni të sigurt ose po përdornit një version zhvillimi midis dy lëshimeve, atëherë zgjidhni më të vjetrin nga lëshimet e mundshme"
"If you are unsure or were using a development version between two releases, then choose the older of possible releases.","Nëse nuk jeni të sigurt ose po përdornit një version zhvillimi midis dy lëshimeve, atëherë zgjidhni më të vjetrin nga lëshimet e mundshme."
"If you are upgrading from a version below 5.0.0 to version 5.0.0 or greater, do note that this upgrade can take anywhere from several minutes to several hours (you will only see a whitescreen until it is complete; do not stop the script before it is complete or you risk corrupting your data)","Nëse po përditësoni nga një version nën 5.0.0 në versionin 5.0.0 ose më lart, vini re se kjo përditësim mund të zgjasë nga disa minuta deri në disa orë (do të shihni vetëm një ekran të bardhë derisa të përfundojë; mos e ndaloni skriptin para se të përfundojë ose rrezikoni të dëmtoni të dhënat tuaja)"
"If you are using Electronic lab entry then fill in the required details and click Save","Nëse po përdorni futjen Elektronike të laboratorit, plotësoni detajet e kërkuara dhe klikoni Ruaj"
If you are using multiple labs enter the details for each one of them,Nëse po përdorni laboratorë të shumtë futni detajet për secilin prej tyre
"If you change e-RX Role for ePrescription, it may affect the ePrescription workflow. If you face any difficulty, contact your ePrescription vendor.","Nëse ndryshoni Rolin e-RX për eRecetën, mund të ndikojë rrjedhën e punës së eRecetës. Nëse hasni ndonjë vështirësi, kontaktoni furnizuesin tuaj të eRecetës."
"If you change your Smartphone you can recapture the TOTP key QR code on to a new device by first logging in using the authenticator app on your old phone and then going to Miscellaneous > MFA Authentication and clicking the View button on the Current Authentication Method section","Nëse ndryshoni Smartphone-in tuaj, mund të rikap kodin QR të çelësit TOTP në një pajisje të re duke u identifikuar fillimisht duke përdorur aplikacionin e autentifikimit në telefonin e vjetër dhe pastaj duke shkuar te Të ndryshme > Autentifikimi MFA dhe duke klikuar butonin Shiko në seksionin e Metodës Aktuale të Autentifikimit"
"If you check the check box in any of these cells it will generate an entry in the last cell called Progress","Nëse zgjidhni kutinë e kontrollit në cilëndo nga këto qeliza, do të gjenerojë një hyrje në qelizën e fundit të quajtur Progresi"
"If you choose to do a manual entry click the 'Invoice Search' radio button. It displays two sections 'Post Item' and 'Invoice Search'","Nëse zgjidhni të bëni një futje manuale, klikoni butonin radio 'Kërkim Fature'. Shfaq dy seksione 'Posto Artikullin' dhe 'Kërkim Fature'"
"If you choose to integrate lab results with the patient's record then some preliminary setup has to be performed","Nëse zgjidhni të integroni rezultatet e laboratorit me dosjen e pacientit, atëherë duhen kryer disa konfigurime paraprake"
"If you click on any user in the 'User Memberships' section you will now see these newly created group (ARO) in the 'Inactive' column. These can now be assigned in the usual fashion as needed.","Nëse klikoni mbi çdo përdorues në seksionin 'Anëtarësitë e Përdoruesit' tani do të shihni këtë grup (ARO) të sapokrijuar në kolonën 'Joaktiv'. Këto tani mund të caktohen në mënyrën e zakonshme sipas nevojës."
"If you click on the edit icon next to this newly created group (ARO) you will note that the 'Active' column contains only a single entry - Placeholder (Maintains empty ACLs). As yet this new group (ARO) has NO access to any part of the program as there are no ACOs assigned in the 'Active' column.","Nëse klikoni mbi ikonën e ndryshimit pranë këtij grupi (ARO) të sapokrijuar do të vini re se kolona 'Aktiv' përmban vetëm një hyrje të vetme - Mbajtës Vendi (Ruan ACL-të boshe). Ende ky grup i ri (ARO) NUK ka akses në asnjë pjesë të programit pasi nuk ka ACO të caktuara në kolonën 'Aktiv'."
"If you Click the blue + sign on Serum Chemistry you will see a new line called Organ/Disease Panel with a Category of Sub Group","Nëse klikoni shenjën blu + te Kimia e Serumit do të shihni një rresht të ri të quajtur Paneli Organ/Sëmundje me një Kategori Nën Grup"
If you continue to experience this error please contact support.,Nëse vazhdoni ta përjetoni këtë gabim ju lutem kontaktoni mbështetjen.
"If you do not find a required value in the drop-down box you will need to add it via Administration > Lists > Procedure Units. Refer to the help file in Procedures > Providers","Nëse nuk gjeni një vlerë të kërkuar në kutinë rënëse, do t'ju duhet ta shtoni nëpërmjet Administrimi > Listat > Njësitë e Procedurave. Referojuni skedarit të ndihmës te Procedurat > Ofruesit"
"If you do not select a match the patient will be created.","Nëse nuk zgjidhni një përputhje, pacienti do të krijohet."
"If you do not select at least one of these, OpenEMR will operate in a receive-only mode","Nëse nuk zgjidhni të paktën një nga këto, OpenEMR do të funksionojë në modalitetin vetëm-marrje"
"If you do not submit orders electronically or receive result electronically leave it as the default value, Download","Nëse nuk dërgoni porosi elektronikisht ose nuk merrni rezultate elektronikisht, lëreni si vlerën e parazgjedhur, Shkarkim"
"If you do not want to allow this application to have offline access to your data, uncheck the offline_permission scope","Nëse nuk doni të lejoni këtë aplikacion të ketë akses jashtë linje në të dhënat tuaja, hiqni zgjedhjen e fushës offline_permission"
If you do not want to do so the following method involves adding data manually using the openEMR interface,Nëse nuk doni ta bëni këtë metoda e mëposhtme përfshin shtimin e të dhënave manualisht duke përdorur ndërfaqen openEMR
"If you drill down to the Electrolyte Panel line and click on the + sign in the Name column you should see Sodium listed underneath it with a Category value of Result with a Tier value of 4","Nëse zbrisni deri te rreshti i Panelit të Elektroliteve dhe klikoni shenjën + në kolonën e Emrit, duhet të shihni Natrium të listuar poshtë tij me një vlerë Kategorie Rezultat me një vlerë Niveli 4"
"If you drill down to the Electrolyte Panel line you should see it have a Category of Order and be highlighted in yellow indicating that it is a search-able and valid order and has a Tier value of 3","Nëse zbrisni deri te rreshti i Panelit të Elektroliteve, duhet ta shihni me një Kategori Porosi dhe të theksuar me të verdhë duke treguar se është një porosi e kërkueshme dhe e vlefshme me një vlerë Niveli 3"
If you had selected multiple codes they will be separated by semi-colons,Nëse keni zgjedhur kode të shumta ato do të ndahen me pikëpresje
"If you have already filled the calendar_external table, then click on ""Synchronize"" button to have the holidays in the calendar view. NOTE that clicking on the button will remove all the existing items in the calendar view related to holidays","Nëse tashmë keni plotësuar tabelën calendar_external, atëherë klikoni butonin ""Sinkronizo"" për të pasur festat në pamjen e kalendarit. SHËNIM: klikimi i butonit do të heqë të gjitha artikujt ekzistues në pamjen e kalendarit lidhur me festat"
If you have an old superbill you can use its grouping of codes as a template to start the customization,Nëse keni një superfaturë të vjetër mund ta përdorni grupimin e kodeve të saj si shabllon për të filluar personalizimin
"If you have chosen to upload electronic remittances, then the search window redisplays itself with the matching invoices from the X12 file.  You may click on any of these invoice numbers (as described below) if you wish to make any corrections before the remittance information is applied. To apply the changes, click the Process ERA File button at the bottom of the page.  This will produce a new window with a detailed report.","Nëse keni zgjedhur të ngarkoni dërgesa elektronike, atëherë dritarja e kërkimit rishfaqet me faturat përputhëse nga skedari X12. Mund të klikoni mbi cilindo nga këta numra faturash (siç përshkruhet më poshtë) nëse dëshironi të bëni korrigjime para se informacioni i dërgesës të zbatohet. Për të zbatuar ndryshimet, klikoni butonin Përpuno Skedarin ERA në fund të faqes. Kjo do të prodhojë një dritare të re me një raport të detajuar."
